rule_id,category,audit_item,audit_point,risk_level,content,suggestion
LEASE-001,lease,押金退还,租赁合同应明确押金退还条件、期限与扣除范围,中,"租赁合同中，出租人应在合同约定期限内退还押金；如需扣除，应明确扣除事由、金额和计算方式，不得以模糊理由长期拖延退还。","建议补充：押金应于租赁关系终止且承租人完成交接后 X 日内无息退还；如需扣除，应逐项列明扣除事由、金额及计算依据。"
LEASE-002,lease,押金扣除限制,押金扣除应与实际损失相匹配,中,"押金扣除应以实际损失为基础，避免以违约金、管理费等名义重复扣款；扣除后余额应及时返还承租人。","建议将条款调整为：押金仅可用于抵扣承租人实际损失，且应在结算清单中列明明细，余额于约定期限内返还。"
LEASE-003,lease,转租限制,转租限制条款应合法且不得无限制禁止,中,"租赁合同可约定转租限制，但通常应结合出租人同意机制设置，不宜一概禁止承租人在合理条件下转租。","建议约定：承租人转租应事先取得出租人书面同意；出租人无正当理由不得拒绝。"
LEASE-004,lease,维修责任,房屋维修责任应区分自然损耗与承租人过错,中,"房屋因自然损耗、正常使用出现的维修问题，应明确由出租人承担或按约定分担；因承租人过错造成损坏的，由承租人承担。","建议明确：自然损耗及房屋主体结构维修由出租人承担，承租人原因造成的损坏由承租人负责修复或赔偿。"
LEASE-005,lease,提前解约通知,提前解除租赁合同应设置合理通知期,低,"提前解除租赁合同应约定合理通知期和交接义务，避免一方突然解约导致损失扩大。","建议补充：任一方提前解除合同应提前 X 日书面通知对方，并完成房屋交接、费用结清与物品清点。"
LEASE-006,lease,水电物业费,租赁费用承担应列明水电物业等明细,低,"租赁合同应明确水电、物业、燃气、网络等费用的承担主体及结算周期，防止后续争议。","建议列明：各项费用承担方、抄表/结算周期、代缴规则及逾期承担责任。"
LABOR-001,labor,试用期约定,试用期长度应与合同期限相匹配,高,"劳动合同中试用期应与合同期限相匹配，不得超出法定上限；试用期长度与劳动合同期限应当对应设置。","建议按劳动合同期限重新匹配试用期期限，并确保不超过法定上限。"
LABOR-002,labor,试用期工资,试用期工资不得低于法定比例,高,"试用期工资不得低于本单位相同岗位最低档工资或劳动合同约定工资的法定比例，且不得低于当地最低工资标准。","建议将试用期工资调整为不低于法定比例及当地最低工资标准，并在合同中明确计算口径。"
LABOR-003,labor,加班补偿,加班应依法支付加班费或安排调休,高,"劳动合同及规章制度应明确加班审批和补偿方式，工作日、休息日、法定节假日加班应按照法律规定支付加班费或安排调休。","建议补充加班审批流程、加班费计算标准及调休规则，避免以固定工资一揽子覆盖。"
LABOR-004,labor,竞业限制,竞业限制应限定对象范围并支付补偿,中,"竞业限制条款应明确限制对象、期限、地域和行业范围，并约定按月支付竞业限制补偿金。","建议明确竞业限制的对象岗位、范围、期限及补偿标准，且不得超过法定期限。"
LABOR-005,labor,服务期约束,专项培训服务期应与培训成本相匹配,中,"用人单位提供专项培训并约定服务期的，应与培训成本相匹配，避免服务期过长或违约金过高。","建议按专项培训实际支出设置服务期与违约金，并明确按剩余服务期折算。"
LABOR-006,labor,离职交接,离职交接义务应明确但不得变相限制离职,低,"劳动合同可约定离职交接流程和资料返还义务，但不得以未完成交接为由无限期扣留工资或变相限制劳动者离职。","建议将交接事项、时间和资料范围具体化，并明确工资不得因交接争议被非法扣留。"
SERVICE-001,service,SLA响应时间,SLA应明确响应与修复时限,中,"服务合同应明确故障响应、修复时限和升级机制，避免仅写“尽快处理”等模糊承诺。","建议明确：P1/P2/P3 故障响应与修复时限、升级路径及超时处理方案。"
SERVICE-002,service,SLA违约责任,SLA违约责任应与服务费和损失相匹配,高,"SLA违约责任应与服务费、损失和服务等级相匹配，避免设置过高固定违约金或单方免除责任。","建议约定违约金上限、扣款方式及补救期，避免过高、过严或单方免责。"
SERVICE-003,service,知识产权归属,交付成果知识产权归属应明确,高,"服务合同应明确项目成果、源码、文档、设计稿等知识产权归属、使用许可范围及交付后可否复用。","建议分别约定成果著作权、源代码使用权、二次开发权和复用限制，避免表述笼统。"
SERVICE-004,service,数据保密,服务提供方应承担保密和数据安全义务,中,"服务合同中应约定保密义务、数据处理边界和安全措施，尤其涉及客户数据、用户数据时应明确保护要求。","建议补充保密范围、数据存储/传输要求、泄露通知时限及违约责任。"
SERVICE-005,service,验收标准,验收标准应客观可量化,中,"服务合同应设置可量化的验收标准、验收期限及整改机制，避免验收标准过于主观导致付款争议。","建议明确验收指标、验收流程、整改次数及默认验收规则。"
SERVICE-006,service,分包限制,重要服务分包应经过委托方同意,中,"对于核心服务内容，分包应事先获得委托方同意，并明确分包方责任承担方式。","建议增加：核心工作不得擅自分包；确需分包的，应取得书面同意并由承包方承担连带责任。"
LOAN-001,loan,利息上限,借款利率不得违反司法保护上限,高,"借款合同中的利息、违约金和其他费用的综合成本应符合司法保护上限要求，不得通过拆分费用规避利率限制。","建议将利息及综合资金成本控制在司法保护上限以内，并明确不得通过服务费、咨询费变相提高成本。"
LOAN-002,loan,砍头息,不得以服务费名义变相收取砍头息,高,"借款合同不得以咨询费、服务费、保证金等名义预先扣除本金或变相提高综合借款成本。","建议删除预扣本金、前置收费等表述，并明确借款本金以实际到账金额为准。"
LOAN-003,loan,担保条款,担保责任范围应明确且不得过度扩张,高,"借款合同应明确保证方式、保证期间、担保范围和担保顺位，避免使用无限连带责任等过度扩张表述。","建议限定担保范围、责任上限及保证期间，避免“无限连带责任”等模糊或过度表述。"
LOAN-004,loan,提前还款,提前还款违约金应明确计算规则,中,"借款合同如约定提前还款违约金，应明确计算公式和收取条件，不得设置明显不合理的高额罚金。","建议明确提前还款通知期、违约金计算方式及封顶标准。"
LOAN-005,loan,逾期罚息,逾期罚息与违约金不得重复过高,高,"借款合同中的逾期罚息、违约金和其他惩罚性费用应避免重复叠加过高，且应有明确计算标准。","建议统一逾期费用口径，设定总额上限，避免罚息、违约金重复累加。"
LOAN-006,loan,用途限制,借款用途限制应明确且与风控目的匹配,低,"借款合同应明确借款用途及违约后果，但用途限制不应设置为不合理的绝对禁止。","建议将用途限制写为可核验的合规场景，并补充违约认定标准和核验方式。"
LEASE-007,lease,租期续租,续租条件应提前约定避免自动争议,低,"租赁合同应明确续租申请期限、租金调整方式和优先承租权，避免租期届满后发生自动续租争议。","建议约定：续租需提前 X 日书面申请，出租人回复期限及续租租金调整机制应明确。"
LEASE-008,lease,装修恢复,装修恢复义务应区分可拆卸与不可拆卸部分,中,"租赁合同应明确装修、改造及退租恢复义务，避免要求承租人无条件恢复至“原状”而不区分合理损耗。","建议明确：可拆卸装修由承租人自行拆除，合理损耗不承担恢复义务，其他恢复标准以交付清单为准。"
LABOR-007,labor,社保缴纳,社保缴纳义务不得通过协议免除,高,"劳动合同不得通过约定由劳动者自行承担社保缴纳义务或放弃社保权益。","建议写明：用人单位依法为劳动者缴纳社会保险，相关义务不得以任何协议方式免除。"
LABOR-008,labor,工资支付周期,工资支付周期应合法且固定,中,"劳动合同应明确工资支付周期、支付日期和支付方式，避免不定期发放或拖欠工资。","建议约定固定发薪日、支付账户及延迟支付责任。"
SERVICE-007,service,里程碑付款,里程碑付款应与交付成果绑定,中,"服务合同应将付款与里程碑交付、验收结果绑定，避免预付款比例过高且缺少保障。","建议将付款拆分为预付款、里程碑款和尾款，并与对应交付成果和验收结果挂钩。"
SERVICE-008,service,终止交接,终止后的资料交接应完整且可追踪,中,"服务合同终止或解除时，应明确资料返还、账号移交、源码交付与备份删除等义务。","建议补充终止交接清单、交接时限、确认方式及逾期责任。"
LOAN-007,loan,展期费用,展期或续借费用应提前明确且不得规避利率上限,中,"借款合同中如约定展期、续借或延期还款费用，应提前明确计算方式且不得变相规避利率上限。","建议明确展期申请条件、费用计算方式和总成本上限。"
LOAN-008,loan,强制扣款,不得约定单方强制划扣借款人账户资金,高,"借款合同不得约定未经授权即直接划扣借款人账户资金或设置过度授权条款。","建议删除未经授权的自动扣款或划转条款，改为依法取得借款人授权后执行。"
